Словоформа,Частота (ipm),Капитализация
женское,9.880363,lower
женской,24.505702,lower
женском,6.006299,lower
женскую,6.546866,lower
жену,46.458726,lower
женщин,101.656618,lower
Женщина,28.529922,higher
женщина,150.067392,lower
женщинам,14.925654,lower
женщинами,13.424079,lower
женщине,25.646899,lower
женщиной,26.607907,lower
женщину,38.530411,lower
Женщины,18.018898,higher
женщины,134.57114,lower
жены,70.213641,lower
Женька,12.973607,higher
Женя,24.415607,higher
жертв,17.298142,lower
жертва,9.279733,lower
жертвами,6.967307,lower
жертвенник,5.01526,lower
жертвой,11.051591,lower
жертву,23.724883,lower
жертвы,27.659009,lower
жест,14.865591,lower
жесткие,7.327685,lower
жесткий,6.606929,lower
жестко,13.484142,lower
жесткой,9.970457,lower
жестоко,9.730205,lower
жестокости,5.675953,lower
жестом,10.63115,lower
жесты,6.156457,lower
жив,26.457749,lower
жива,11.321874,lower
живая,14.895623,lower
живем,23.634788,lower
живет,83.727815,lower
живете,5.796079,lower
живешь,9.970457,lower
живи,5.645921,lower
живо,10.180678,lower
живого,24.926143,lower
живое,20.691702,lower
живой,56.519278,lower
живом,5.495764,lower
живописец,8.589008,lower
живописи,29.671119,lower
живописца,6.036331,lower
живопись,12.372977,lower
живот,30.001466,lower
живота,9.309764,lower
животе,14.535245,lower
животного,16.727544,lower
животное,20.121103,lower
животные,26.547844,lower
животным,10.871402,lower
животными,11.141686,lower
животных,99.614477,lower
животом,6.096394,lower
живу,22.103182,lower
живут,72.255783,lower
живущие,7.297654,lower
живущий,5.61589,lower
живущих,13.814489,lower
живую,9.42989,lower
живших,5.195449,lower
живы,12.192788,lower
живые,23.514662,lower
живым,21.712773,lower
живыми,11.502063,lower
живых,51.443955,lower
живёт,17.178016,lower
жидкости,11.291843,lower
жидкость,9.790268,lower
жизнедеятельности,10.661182,lower
жизней,8.558977,lower
жизненно,10.150646,lower
жизненного,11.291843,lower
жизненной,9.129575,lower
жизненные,6.757087,lower
жизненный,10.841371,lower
жизненных,10.601119,lower
Жизни,5.375638,higher
жизни,834.575311,lower
Жизнь,44.206364,higher
жизнь,542.398873,lower
жизнью,64.747908,lower
Жил,6.636961,higher
жил,94.148744,lower
жила,43.545671,lower
Жили,6.847181,higher
жили,78.682523,lower
жилища,8.649071,lower
жилище,9.039481,lower
жилой,7.447811,lower
жилых,8.468882,lower
жилье,18.139024,lower
жильцов,6.666992,lower
жилья,22.974095,lower
жир,6.126425,lower
жира,6.336646,lower
жителей,63.816932,lower
Жители,7.988378,higher
жители,49.311719,lower
житель,7.928315,lower
жительства,8.589008,lower
жителя,5.796079,lower
жителям,9.039481,lower
жителями,7.658032,lower
Жить,10.691213,higher
жить,201.721568,lower
ЖКХ,8.138536,higher
Жора,6.81715,higher
Жуков,5.105355,higher
Журнал,11.081623,higher
журнал,55.137829,lower
журнала,65.498696,lower
журналах,12.252851,lower
журнале,37.389214,lower
журналист,18.199087,lower
журналиста,10.721245,lower
журналистам,5.61589,lower
журналистов,16.397198,lower
журналисты,15.135875,lower
журналов,20.031009,lower
журналы,17.208048,lower
жутко,11.772347,lower
Жюри,6.456772,higher
жюри,10.841371,lower
з,7.087433,lower
З.,11.111654,higher
За,324.159982,higher
за,3341.304393,lower
забавно,5.736016,lower
забирать,5.796079,lower
забит,6.066362,lower
забить,6.937276,lower
заблуждение,8.078473,lower
заболевание,6.907244,lower
заболеваний,20.66167,lower
заболевания,16.397198,lower
заболел,9.880363,lower
заболела,5.465733,lower
забор,13.814489,lower
забора,11.472032,lower
забором,10.240741,lower
забот,7.447811,lower
забота,7.958347,lower
заботиться,7.898284,lower
заботливо,6.006299,lower
заботу,5.916205,lower
заботы,12.973607,lower
забрал,10.931465,lower
забрала,5.705984,lower
забрали,11.862441,lower
забрать,15.256001,lower
забуду,6.006299,lower
забудь,6.456772,lower
забыв,11.261812,lower
забывает,5.075323,lower
забывал,6.126425,lower
забывать,16.186977,lower
забывая,5.345607,lower
забыл,45.167372,lower
забыла,21.472521,lower
забыли,22.703812,lower
забыть,30.932442,lower
заведение,12.823449,lower
заведений,14.715434,lower
заведения,19.730694,lower
заведениях,6.096394,lower
заведомо,14.084772,lower
заведующего,5.886173,lower
заведующий,9.129575,lower
завел,8.82926,lower
заверил,5.645921,lower
завершение,6.847181,lower
завершения,10.300804,lower
завершил,5.01526,lower
завершить,7.567937,lower
завести,9.640111,lower
Завета,7.597969,higher
зависеть,9.009449,lower
зависимости,63.967089,lower
зависимость,17.65852,lower
зависит,62.825892,lower
зависти,7.297654,lower
зависть,7.658032,lower
зависят,9.399859,lower
завод,33.395025,lower
завода,32.704301,lower
заводах,5.315575,lower
заводе,21.352395,lower
заводов,13.694363,lower
заводы,12.403008,lower
Завтра,23.845009,higher
завтра,80.274192,lower
завтрак,14.294993,lower
завтрака,6.546866,lower
загадка,7.838221,lower
загадкой,5.255512,lower
загадочно,5.856142,lower
заглядывал,5.766047,lower
заглянул,14.83556,lower
заглянула,6.727055,lower
заглянуть,14.925654,lower
заговор,5.165418,lower
заговорил,18.739654,lower
заговорила,7.177528,lower
заговорили,8.198599,lower
заговорить,5.375638,lower
загрязнения,6.366677,lower
зад,5.195449,lower
задавать,9.339796,lower
задает,6.937276,lower
задал,9.42989,lower
задание,14.715434,lower
заданий,5.796079,lower
задания,14.084772,lower
задать,9.159607,lower
задач,57.119908,lower
Задача,16.697513,higher
задача,60.513467,lower
задачами,5.61589,lower
задачей,22.373466,lower
задачи,68.231562,lower
задачу,31.803356,lower
заднего,5.916205,lower
задней,9.880363,lower
заднем,10.480993,lower
задние,6.036331,lower
задним,6.21652,lower
задних,7.02737,lower
задолго,13.514174,lower
задолженности,5.075323,lower
задом,6.21652,lower
задумал,5.705984,lower
задумалась,6.757087,lower
задумался,17.898772,lower
задуматься,11.472032,lower
задумчиво,22.853969,lower
задумывался,5.555827,lower
задумываясь,7.567937,lower
задыхаясь,5.285544,lower
заинтересованных,5.285544,lower
заинтересованы,6.787118,lower
займет,5.946236,lower
зайти,17.718583,lower
заказ,18.108993,lower
заказа,5.40567,lower
заказал,8.258662,lower
заказать,9.129575,lower
заказов,7.297654,lower
заказу,11.712284,lower
заказчика,6.186488,lower
заказы,7.267622,lower
заканчивается,20.151135,lower
заканчивая,5.796079,lower
закат,7.267622,lower
заката,7.057402,lower
закате,5.075323,lower
заключается,34.626316,lower
заключалась,8.378788,lower
заключение,17.478331,lower
заключении,6.006299,lower
заключения,17.147985,lower
заключенных,8.528945,lower
заключил,9.399859,lower
заключить,6.967307,lower
